Year,Title,Summary,Case type,Outcome type,Market sector,Open date,Closed date,Archive URL
2012,Stagecoach / First Devon merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Transport,10.07.12,17.07.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stagecoach-first-devon-inquiry
2006,Stagecoach Bus Holdings Ltd / Braddell plc joint venture (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Transport,15.03.06,23.10.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stagecoach-braddell
2009,Stagecoach Group plc / Eastbourne Buses Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Transport,13.05.09,22.10.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stagecoach-group-plc-eastbourne-buses-limited
2009,Stagecoach Group plc / Preston Bus Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Transport,22.05.09,11.11.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stagecoach-preston
2008,Stansted Airport Ltd price control review ,Closed Competition Commission (CC) regulatory reference investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Aerospace,29.04.08,04.11.08,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stansted-price-control-review
2011,Stena AB / DFDS Seaways Irish Sea Ferries Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Transport,08.02.11,29.06.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stena-dfds
2003,Stena AB / The Peninsular and Oriental Steam Navigation Company merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Transport,22.08.03,05.02.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stena-ab-po
2006,Stericycle International LLC / Sterile Technologies Group Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Healthcare and medical equipment,28.06.06,12.12.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stericycle-international-llc-sterile-technologies-group-limited
2011,"Stericycle, Inc / Ecowaste Southwest Ltd merger inquiry (CC)",Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Healthcare and medical equipment,25.08.11,21.03.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/stericycle-ecowaste-southwest
2004,Store card credit services market investigation (CC),Closed Competition Commission (CC) market investigation.,Markets,Markets - phase 2 adverse effect on competition leading to remedies,Financial services,18.03.04,07.03.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/store-card-credit-services
