Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Robert Wiseman Dairies plc / Peninsula Milk Processors Ltd and Newlands Farm (Milk Link) Ltd ,OFT closed case: Anticipated acquisition by Robert Wiseman Dairies plc of Peninsula Milk Processors Limited and Newlands Farm (Milk Link) Limited,Mergers,Food manufacturing,Mergers - phase 1 clearance,16-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/wiseman,,
Coloplast A/S / Mentor Corporation ,OFT closed case: Completed acquisition by Coloplast A/S of the Urology Business of Mentor Corporation,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,2-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/coloplast,,
Montauban S.A. / Simon Group plc ,OFT closed case: Anticipated acquisition by Montauban S.A. of Simon Group plc,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,1-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/montauban,,
Illovo Sugar Ltd / ABF Overseas Ltd ,OFT closed case: Anticipated acquisition of Illovo Sugar Ltd by ABF Overseas Ltd ,Mergers,Food manufacturing,Mergers - phase 1 clearance,30-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/illovo,,
Resolution plc / Abbey National Life business ,OFT closed case: Anticipated acquisition by Resolution plc of the Abbey National Life business ,Mergers,Financial services,Mergers - phase 1 clearance,23-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/resolution,,
Exel Europe Ltd / NHS Logistics Authority / NHS Purchasing and Supply Agency ,OFT closed case: Acquisition by Exel Europe Limited of the supply chain functions of the NHS Logistics Authority and the consumables procurement function of the NHS Purchasing and Supply Agency ,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,18-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/exel,,
Greene King plc / Hardys and Hansons plc ,OFT closed case: Anticipated acquisition by Greene King plc of Hardys and Hansons plc ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,17-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/greene,,
Balfour Beatty plc / Edgar Allen Ltd ,OFT closed case: Completed acquisition by Balfour Beatty plc of Edgar Allen Limited ,Mergers,Building and construction,Mergers - phase 1 clearance,5-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/balfour,,
Stirling Square Capital Partners IV LP / Whittan Group Ltd ,OFT closed case: Completed acquisition of Whittan Group limited by Stirling Square Capital Partners IV LP ,Mergers,"Household goods, furniture and furnishings",Mergers - phase 1 clearance,29-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/stirling,,
IKO UK Ltd / The Waterproofing Group plc ,OFT closed case: Anticipated acquisition by IKO UK Limited of The Waterproofing Group plc ,Mergers,Building and construction,Mergers - phase 1 clearance,29-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/iko,,
Ruby Acquisitions Ltd (Oaktree Capital Management) / Richmond Foods PLC ,OFT closed case: Anticipated acquisition by Ruby Acquisitions Limited (Oaktree Capital Management) of Richmond Foods plc ,Mergers,Food manufacturing,Mergers - phase 1 clearance,28-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/ruby,,
Geest Foods Ltd / New Primebake Ltd ,OFT closed case: Anticipated acquisition by Geest Foods Limited of New Primebake Limited ,Mergers,Food manufacturing,Mergers - phase 1 clearance,26-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/geest2,,
InfoNXX Inc / Kandel Ltd ,OFT closed case: Completed acquisition by InfoNXX Inc. of Kandel Limited ,Mergers,Telecommunications,Mergers - phase 1 clearance,20-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/info,,
ICAP plc / EBS Group Ltd ,OFT closed case: Completed acquisition by ICAP plc of EBS Group Limited ,Mergers,Financial services,Mergers - phase 1 clearance,19-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/icap,,
DC Thomson & Co Ltd / Aberdeen Journals Ltd ,OFT closed case: Completed acquisition by DC Thomson & Co Limited of Aberdeen Journals Limited,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,15-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/dcthompson,,
AT&T / BellSouth ,OFT closed case: Anticipated acquisition by AT&T Inc. of BellSouth Corporation ,Mergers,Telecommunications,Mergers - phase 1 clearance,15-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/ATT,,
Constellation Brands Inc / Vincor International Inc ,OFT closed case: Completed acquisition by Constellation Brands Inc of Vincor International Inc,Mergers,Retail and wholesale,Mergers - phase 1 clearance,13-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/constellation,,
Thresher Group / Unwins ,OFT closed case: Completed acquisition by Thresher Group of 200 Unwins stores ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,7-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/thresher,,
Arriva plc / Premier Buses Ltd ,OFT closed case: Completed acquisition by Arriva plc of Premier Buses Limited ,Mergers,Transport,Mergers - phase 1 clearance,31-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/arriva4,,
Lord Corporation / Henkel KGaA ,OFT closed case: Anticipated acquisition by Lord Corporation of certain businesses of Henkel KGaA,Mergers,Chemicals,Mergers - phase 1 clearance,25-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/lord,,
Hill & Smith plc / Metnor Galvanizing Ltd ,OFT closed case: Anticipated acquisition by Hill & Smith plc of Metnor Galvanizing Limited,Mergers,Engineering,Mergers - phase 1 clearance,25-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/hill_and_smith2,,
Cameron CPI UK Ltd / Fulmar plc ,OFT closed case: Anticipated acquisition by Cameron CPI UK Limited of Fulmar plc,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,23-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/cameron,,
Northgate plc / Arriva Vehicle Rental Ltd ,OFT closed case: Completed acquisition by Northgate plc of Arriva Vehicle Rental Limited ,Mergers,Motor Industry,Mergers - phase 1 clearance,17-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/northgate,,
Dickinson Legg Group plc / European Tobacco Development S.A. ,OFT closed case: Anticipated acquisition of Dickinson Legg Group plc by European Tobacco Development S.A.,Mergers,Engineering,Mergers - phase 1 clearance,17-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/dickinson,,
Johnston Press Plc / Scotsman Publications Ltd ,OFT closed case: Completed acquisition by Johnston Press plc of Scotsman Publications Limited ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,16-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/johnston4,,
West Coast Capital / Wyevale Garden Centres plc ,OFT closed case: Anticipated acquisition by West Coast Capital of Wyevale Garden Centres plc ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,15-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/west_coast,,
Carphone Warehouse Group plc / Onetel ,OFT closed case: Completed acquisition of Onetel by the Carphone Warehouse Group plc ,Mergers,Telecommunications,Mergers - phase 1 clearance,9-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/carphone2,,
NTL Incorporated / Virgin Mobile Holdings (UK) Ltd ,OFT closed case: Anticipated acquisition by NTL Incorporated of Virgin Mobile Holdings (UK) Limited ,Mergers,Telecommunications,Mergers - phase 1 clearance,7-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/ntl,,
Punch Taverns plc / Spirit Group Holdings Ltd ,OFT closed case: Completed acquisition by Punch Taverns plc of Spirit Group Holdings Ltd ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,4-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/punch,,
Claymore Dairies Ltd / Allarburn Farm Dairy Ltd ,OFT closed case: Completed acquisition by Claymore Dairies Limited of the milk business of Allarburn Farm Dairy Limited ,Mergers,Food manufacturing,Mergers - phase 1 clearance,2-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/claymore,,
Association of United Recording Artists / Performing Artists' Media Rights Association Ltd / Phonographic Performance Ltd ,OFT closed case: Anticipated merger of the Association of United Recording Artists (AURA) and the Performing Artists' Media Rights Association Ltd (PAMRA) into Phonographic Performance Ltd (PPL) ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,1-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/aura,,
Dagsbrún hf / Wyndeham Press Group plc       ,OFT closed case: Anticipated acquisition by Dagsbrún h.f. of Wyndeham Press Group plc ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,24-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/dagsbrun,,
Honeywell International Inc / Gardiner Groupe Europe SAS ,OFT closed case: Anticipated acquisition by Honeywell International Inc of Gardiner Groupe Europe SAS ,Mergers,"Fire, police, and security",Mergers - phase 1 clearance,23-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/honeywell,,
Tata Chemicals Ltd / Brunner Mond Group Ltd ,OFT closed case: Completed acquisition by Tata Chemicals Limited of a controlling interest in Brunner Mond Group Limited ,Mergers,Chemicals,Mergers - phase 1 clearance,20-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/tata,,
Npower Ltd / Telecom Plus plc ,OFT closed case: Anticipated acquisition by Npower Ltd of the electricity and gas businesses of Telecom Plus plc ,Mergers,Utilities,Mergers - phase 1 clearance,18-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/npower,,
Hachette Livre SA / Time Warner Book Group Inc / Time-Life Entertainment Group Ltd ,OFT closed case: Completed acquisition by Hachette Livre SA of Time Warner Book Group Inc and Time-Life Entertainment Group Ltd ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,18-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/hachette,,
Stagecoach Group plc / Traction Group Ltd ,OFT closed case: Completed acquisition by Stagecoach Group plc of Traction Group Limited ,Mergers,Transport,Mergers - phase 1 clearance,11-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/stagecoach2,,
KEMET Corporation / EPCOS AG ,OFT closed case: Anticipated acquisition by KEMET Corporation of the tantalum capacitor business of EPCOS AG ,Mergers,Electronics Industry,Mergers - phase 1 clearance,11-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/kemet,,
Cooperative Group Ltd / Mcintosh Funeral Directors ,OFT closed case: Anticipated acquisition by Cooperative Group Limited of Mcintosh Funeral Directors ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,5-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/coop,,
Deutsche Bank AG / JP Morgan Chase N.A. ,OFT closed case: Anticipated acquisition by Deutsche Bank AG of the Depositary and Clearing Centre business of JP Morgan Chase N.A. ,Mergers,Financial services,Mergers - phase 1 clearance,30-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/deutsche,,
"Macdonald, Dettwiler and Associates Ltd / PropertyFlow Group ","OFT closed case: Anticipated acquisition by Macdonald, Dettwiler and Associates Ltd of the PropertyFlow Group ",Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,29-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/macdonald,,
London and South Eastern Railway / Integrated Kent Rail Franchise ,"OFT closed case: Anticipated acquisition by London and South Eastern Railway, a wholly owned subsidiary of Govia Limited, of the Integrated Kent Rail franchise ",Mergers,Transport,Mergers - phase 1 clearance,27-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/london_and_south,,
Menzies Distribution Ltd / Thos Swift (Wholesale Newsagents) Ltd / Chester Independent Wholesale Newsagent Ltd ,OFT closed case: Anticipated acquisition of Thos Swift Ltd and Chester Independent Wholesale Newsagent Ltd by Menzies Distribution Limited ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,26-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/menzies,,
W & J Dunlops Ltd / Genusexpress Ltd ,OFT closed case: Completed acquisition by W & J Dunlops Ltd of Genusexpress Ltd ,Mergers,Pharmaceuticals,Mergers - phase 1 clearance,22-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/dunlops,,
Dubai International Capital LLC / Doncasters Group Ltd ,OFT closed case: Completed acquisition by Dubai International Capital LLC of Doncasters Group Limited ,Mergers,Engineering,Mergers - phase 1 clearance,17-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/dubai,,
Honeywell International Inc / First Technology plc ,OFT closed case: Anticipated acquisition by Honeywell International Inc of First Technology plc ,Mergers,"Fire, police, and security",Mergers - phase 1 clearance,14-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/honeywell2,,
Harsco Corporation / Brambles Steel Services / Brambles Industries Ltd ,OFT closed case: Completed acquisition by Harsco Corporation of the Brambles Steel Services business from certain subsidiaries of Brambles Industries Limited ,Mergers,Engineering,Mergers - phase 1 clearance,13-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/harsco,,
West Midlands Travel Ltd / Laing Infrastructure Holdings Ltd / Ansaldo Transporti Sistemi Ferroviari SpA / Altram LRT Ltd ,OFT closed case: Anticipated acquisition by West Midlands Travel Limited of the joint venture shares of Laing Infrastructure Holdings Limited and Ansaldo Transporti Sistemi Ferroviari SpA in Altram LRT Limited ,Mergers,Transport,Mergers - phase 1 clearance,2-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/west_midlands,,
Getty Images Inc / Digital Vision Ltd / Amana America Inc / Amana Europe Ltd / Iconica Ltd / Photonica ,OFT closed case: Completed acquisition by Getty Images Inc of Digital Vision Limited ,Mergers,Electronics Industry,Mergers - phase 1 clearance,17-Feb-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/getty,,
Morgan Stanley Bank International / Lloyds TSB Bank plc ,OFT closed case: Anticipated acquisition by Morgan Stanley Bank International Limited of certain assets of the Goldfish business from Lloyds TSB Bank plc ,Mergers,Financial services,Mergers - phase 1 clearance,16-Feb-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/morgan_stanley,,
RWE NPower plc / Great Yarmouth Power Ltd ,OFT closed case: Completed acquisition of Great Yarmouth Power Limited by RWE NPower plc ,Mergers,Energy,Mergers - phase 1 clearance,6-Feb-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/rwe,,
Macquarie London Exchange Investments Ltd / London Stock Exchange plc ,OFT closed case: Anticipated acquisition by Macquarie London Exchange Investments Limited of London Stock Exchange plc,Mergers,Financial services,Mergers - phase 1 clearance,3-Feb-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/macquarie2,,
Minova UK Ltd / Exchem plc ,OFT closed case: Completed acquisition by Minova UK Limited of the resin capsules business of Exchem plc ,Mergers,Chemicals,Mergers - phase 1 clearance,30-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/minova,,
Wolseley UK Ltd / Encon Ltd ,OFT closed case: Completed acquisition by Wolseley UK Limited of Encon Limited ,Mergers,Building and construction,Mergers - phase 1 clearance,27-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/wolseley_2,,
Autoglass Ltd / Nationwide Autoglazing Ltd and Glasscare Ltd ,OFT closed case: Anticipated acquisition by Autoglass Limited of Nationwide Autoglazing Limited and Glasscare Limited ,Mergers,Motor Industry,Mergers - phase 1 clearance,25-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/autoglass,,
Carillion plc / Mowlem plc ,OFT closed case: Anticipated acquisition by Carillion plc of Mowlem plc ,Mergers,Building and construction,Mergers - phase 1 clearance,24-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/carillon,,
"Thunder Free Zone Enterprise / Ports, Customs and Free Zone Corporation, Dubai / Peninsular and Oriental Steam Navigation Company ","OFT closed case: Anticipated acquisition by Thunder Free Zone Enterprise, a wholly owned subsidiary of Ports, Customs and Free Zone Corporation, Dubai of The Peninsular and Oriental Steam Navigation Company ",Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,23-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/thunder,,
Language Line Holdings LLC / Language Line Ltd ,OFT closed case: Anticipated acquisition by Language Line Holdings LLC of Language Line Limited ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,13-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/language_line,,
Wolseley UK Ltd / William Wilson Holdings ,OFT closed case: Completed acquisition by Wolseley UK Limited of William Wilson Holdings Limited,Mergers,Building and construction,Mergers - phase 1 clearance,12-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/wolseley,,
Gala Group / Coral Eurobet Group ,OFT closed case: Completed acquisition by Gala Group of Coral Eurobet Group ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,10-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/gala,,
British United Provident Association Ltd / ANS 2003 plc ,OFT closed case: Completed acquisition by British United Provident Association Limited of ANS 2003 plc ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,10-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/bupa,,
HBOS plc / Lex Vehicle Leasing (Holdings) Ltd ,OFT closed case: Anticipated acquisition by HBOS plc of the remaining 50 per cent shareholding in Lex Vehicle Leasing (Holdings) Limited ,Mergers,Motor Industry,Mergers - phase 1 clearance,5-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/hbos,,
Killarney Manufacturing Group Ltd / Balmoral Group Ltd ,OFT closed case: Anticipated acquisition by Killarney Manufacturing Group Ltd of Balmoral Group Limited's GRP tank manufacturing business,Mergers,Building and construction,Mergers - phase 1 referral,25-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Killarney,,
GAME Group plc / Game Station Ltd ,OFT closed case: Completed acquisition by The GAME Group plc of Game Station Limited ,Mergers,Electronics Industry,Mergers - phase 1 referral,9-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/GAME,,
Macquarie UK Broadcast Ventures Ltd / National Grid Wireless Group ,"OFT closed case: Completed acquisition by Macquarie UK Broadcast Ventures Limited of National Grid Telecoms Investment Limited, Lattice Telecommunications Asset Development Company Limited and National Grid Wireless No.2 Limited ",Mergers,Communications,Mergers - phase 1 referral,8-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Macquarie,,
Polypipe Ltd / Verplas Ltd ,OFT closed case: Anticipated acquisition by Polypipe Building Products Limited of Verplas Limited ,Mergers,Building and construction,Mergers - phase 1 referral,11-Jul-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Polypipe,,
G4S Cash Services (UK) Ltd / Abbotshurst Group plc ,OFT closed case: Anticipated acquisition by G4S Cash Services (UK) Limited of Abbotshurst Group plc ,Mergers,"Fire, police, and security",Mergers - phase 1 referral,18-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/G4S,,
Sportech plc / Vernons Football Pools / Ladbrokes plc ,OFT closed case: Anticipated acquisition by Sportech plc of the Vernons Football Pools business from Ladbrokes plc,Mergers,Recreation and Leisure,Mergers - phase 1 referral,3-May-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Vernons,,
Tesco plc / former Co-op store in Slough ,OFT closed case: Completed acquisition by Tesco plc of a former Co-op store in Slough ,Mergers,Retail and wholesale,Mergers - phase 1 referral,19-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Tesco,,
Woolworths Group plc / Bertram Group Ltd ,OFT closed case: Completed acquisition by Woolworths Group plc of Bertram Group Limited ,Mergers,Retail and wholesale,Mergers - phase 1 referral,3-Apr-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Woolworths,,
Greif Inc / Blagden Packaging Group ,OFT closed case: Completed acquisition by various subsidiaries of Greif Inc of the steel drum and closures business of Blagden Packaging Group ,Mergers,Building and construction,Mergers - phase 1 referral,20-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Grief,,
"MacDonald, Dettwiler and Associates Ltd / Quest End Computer Services Ltd / Quest Systems Development Ltd / Cywood Management Ltd ","OFT closed case: Anticipated acquisition by MacDonald, Dettwiler and Associates Limited of Quest End Computer Services Limited, Quest Systems Development Limited and Cywood Management Limited ",Mergers,Electronics Industry,Mergers - phase 1 referral,14-Feb-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/MacDonald,,
Kemira GrowHow Ojy / Terra Industries Inc. ,"OFT closed case: Anticipated joint venture between Kemira GrowHow Oyj and Terra Industries Inc, involving their UK fertiliser and process chemicals businesses ",Mergers,Chemicals,Mergers - phase 1 referral,26-Jan-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/kemira,,
Thermo Electron Manufacturing Ltd / GV Instruments Ltd ,OFT closed case: Completed acquisition by Thermo Electron Manufacturing Limited of GV Instruments Limited ,Mergers,Engineering,Mergers - phase 1 referral,15-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Thermo,,
Wienerberger Finance BV / Baggeridge Brick plc ,OFT closed case: Anticipated acquisition by Wienerberger Finance BV of Baggeridge Brick plc ,Mergers,Building and construction,Mergers - phase 1 referral,11-Dec-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/Wienerberger,,
HDF (UK) Holdings / Hastings Funds Management / Macquarie Luxembourg Water Sarl ,OFT closed case: Completed acquisition of Macquarie Luxembourg Water Sarl (now Hastings Luxembourg Water Sarl) by HDF (UK) Holdings Limited jointly owned by Utilities of Australia Pty Limited (in its capacity as trustee of Utilities Trust of Australia) and Hastings Funds Management Limited (in its capacity as responsible entity (trustee) of Hastings Diversified Utilities Fund) ,Mergers,Utilities,Mergers - phase 1 referral,16-Nov-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/HDF,,
Stonegate Farmers Ltd / Deans Food Group Ltd ,OFT closed case: Completed merger between Stonegate Farmers Limited and Deans Food Group Limited ,Mergers,Food manufacturing,Mergers - phase 1 referral,12-Sep-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/stonegate,,
SvitzerWijsmuller A/S / Adsteam Marine Ltd ,OFT closed case: Anticipated acquisition by SvitzerWijsmuller A/S of Adsteam Marine Limited ,Mergers,Distribution and Service Industries,Mergers - phase 1 referral,30-Aug-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/svitzerwijsmuller,,
