Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Novartis AG / NeuTec Pharma plc ,OFT closed case: Anticipated acquisition by Novartis AG of NeuTec Pharma plc,Mergers,Pharmaceuticals,Mergers - phase 1 found not to qualify,12-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/novartis,,
UBS AG / ABN Amro's Global Futures and Options Trading Business ,OFT closed case: Anticipated acquisition by UBS AG of ABN Amro's Global Futures and Options Trading Business ,Mergers,Financial services,Mergers - phase 1 found not to qualify,4-Jul-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/ubs,,
Getty Images Inc / Star Media Ltd and Stockdisc Ltd ,"OFT closed case: Completed acquisition by Getty Images, Inc. of Star Media Limited and Stockdisc Limited ",Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,26-Jun-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/getty2,,
AstraZeneca UK Ltd / Cambridge Antibody Technology plc ,OFT closed case: Anticipated acquisition by AstraZeneca UK Limited of Cambridge Antibody Technology plc ,Mergers,Pharmaceuticals,Mergers - phase 1 found not to qualify,30-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/astrazeneca,,
Scottish & Newcastle plc / Foster's Group Ltd ,OFT closed case: Anticipated acquisition by Scottish & Newcastle plc of the Foster’s brand from Foster’s Group Limited ,Mergers,Food manufacturing,Mergers - phase 1 found not to qualify,1-May-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/scottish_newcastle,,
Carphone Warehouse Group PLC / Tele2 UK Communications Ltd and Tele2 Telecommunications Services ,OFT closed case: Completed acquisition by the Carphone Warehouse Group plc of Tele2 UK Communications Limited and Tele2 Telecommunications Services ,Mergers,Telecommunications,Mergers - phase 1 found not to qualify,12-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/carphone,,
Cobfin S.A. / Kabos Holdings UK Ltd / Dart Line Ltd / Jacobs Holdings Ltd ,OFT closed case: Completed Acquisition by Cobfin S.A. and Kabos Holdings UK Ltd (both part of the Cobelfret Group) of Dart Line Ltd and Jacobs Holdings Ltd (together comprising the Dart Line shipping business) ,Mergers,Distribution and Service Industries,Mergers - phase 1 found not to qualify,4-Apr-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/cobfin,,
ASSA ABLOY Inc / Adams Rite Manufacturing Co ,OFT closed case: Anticipated acquisition by ASSA ABLOY Inc of Adams Rite Manufacturing Co ,Mergers,"Fire, police, and security",Mergers - phase 1 found not to qualify,31-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/assa_abloy,,
First Choice Holidays plc / Grand Expeditions Inc ,OFT closed case: Completed acquisition by First Choice Holidays plc of Grand Expeditions Inc ,Mergers,Distribution and Service Industries,Mergers - phase 1 found not to qualify,27-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/first_choice,,
Build a Bear Workshop Inc / Bear Factory Ltd / Hamleys Group Ltd ,OFT closed case: Anticipated acquisition by Build a Bear Workshop Inc of the Bear Factory Limited from Hamleys Group Limited ,Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,22-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/build_a_bear,,
Arriva Durham County Ltd / Go-Ahead Group Plc ,OFT closed case: Anticipated acquisition by Arriva Durham County Ltd of certain services of Go-Ahead Group plc in Bishop Auckland ,Mergers,Transport,Mergers - phase 1 found not to qualify,17-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/arriva,,
Scottish and Southern Energy plc / Barking Power Ltd ,OFT closed case: Completed acquisition by Scottish and Southern Energy plc of an additional 8.36 per cent stake in Barking Power Ltd,Mergers,Energy,Mergers - phase 1 found not to qualify,16-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/scottish_and_southern,,
Golf Holdings Ltd / Philip Russell Ltd ,OFT closed case: Completed acquisition by Golf Holdings Limited of Philip Russell Limited ,Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,16-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/golf_holdings,,
United Utilities Plc / 1st Software Group Ltd ,OFT closed case: Anticipated acquisition by United Utilities plc of 1st Software Group Ltd ,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify,14-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/united,,
John David Group plc / Allsports (Retail) Ltd ,OFT closed case: Completed acquisition by The John David Group plc of the business and certain assets of Allsports (Retail) Limited ,Mergers,"Clothing, footwear and fashion",Mergers - phase 1 found not to qualify,1-Mar-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/john_david,,
Keynote Housing Group / Prime Focus Housing Group ,OFT closed case: Anticipated merger between the Keynote Housing Group and the Prime Focus Housing Group ,Mergers,Distribution and Service Industries,Mergers - phase 1 found not to qualify,28-Feb-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/keynote,,
IVC Luxembourg S.A. / Resilient Flooring Industries S.A. ,OFT closed case: Anticipated acquisition by IVC Luxembourg S.A. of Resilient Flooring Industries S.A.,Mergers,Building and construction,Mergers - phase 1 found not to qualify,15-Feb-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/ivc_luxembourg,,
Somerfield Stores Ltd / WM Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition by Somerfield Stores Ltd of four former Safeway Stores from WM Morrison Supermarkets plc ,Mergers,Retail and wholesale,Mergers - phase 1 found not to qualify,18-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/somerfield,,
