Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
FleetCor UK / Arval UK Group Ltd,,Mergers,Financial services,Mergers - phase 1 clearance,5/11/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/fleetcor
Ambu / Unomedical Ltd ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,5/14/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/865414
United Online / Flying Brands Ltd,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,5/16/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/united-online
Akzo Nobel / Metlac ,,Mergers,Engineering,Mergers - phase 1 referral,5/23/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/akzo-nobel
Midland Genera l/ Felix Bus Services Ltd,,Mergers,Transport,Mergers - phase 1 clearance,5/30/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/midlandgeneral
Christie / Orridge Business Sales Ltd ,,Mergers,Pharmaceuticals,Mergers - phase 1 found not to qualify  ,6/1/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Christie
Northcliffe Media / Topper Newspapers Ltd ,,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,6/1/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/northcliffe
Epwin / Latium Building Products Holdings ,,Mergers,Building and construction,Mergers - phase 1 referral,6/18/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/epwin
Dods Group / DeHavilland ,,Mergers,Communications,Mergers - phase 1 referral,6/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/dods
Glassolutions / Greenberg Ltd,,Mergers,Building and construction,Mergers - phase 1 found not to qualify  ,6/22/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/glassolutions
Amcare/SureCalm Healthcare Holdings ,,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,6/27/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/amcare
Voyage Care Ltd / Solor Care Holdings,,Mergers,Healthcare and medical equipment,Mergers - phase 1 found not to qualify  ,6/28/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/voyage
Astra Games / Danoptra Group,,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,7/3/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/astra
Stagecoach / First Devon and Cornwall Ltd ,,Mergers,Transport,Mergers - phase 1 referral,7/10/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/stagecoach
Shell UK Ltd / Consortium Rontec Investments LLP ,,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 clearance with undertakings in lieu,7/12/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/shell
Odeon Cinema Holdings /  BFI IMAX Cinema,,Mergers,Recreation and Leisure,Mergers - phase 1 found not to qualify  ,7/16/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/odeon
Burlington Slate Ltd / Kirkstone Quarries Ltd ,,Mergers,"Mineral extraction, mining and quarrying",Mergers - phase 1 found not to qualify  ,7/20/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Burlington
