Title,Summary,Case type,Outcome,New CMA market sector,Closed date,Archive URL,,,,,
KIFIN / Minerva,,Mergers,Mergers - phase 1 found not to qualify,Building and construction,12/11/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/KIFIN,,,,,
Koppers / Cindu Chemicals,,Mergers,Mergers - phase 1 clearance,Chemicals,2/23/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Koppers,,,,,
Lactalis McLelland Limited / Lubborn Cheese Limited,,Mergers,Mergers - phase 1 clearance,Food manufacturing,8/7/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Lactalis,,,,,
Lochard Ltd / Spectris plc,,Mergers,Mergers - phase 1 clearance,"Agriculture, environment and natural resources",1/29/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Lockard,,,,,
Lodge Brothers / Hillingdon,,Mergers,Mergers - phase 1 clearance,Distribution and Service Industries,11/26/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Lodge,,,,,
LSE / Turquoise Trading,,Mergers,Mergers - phase 1 clearance,Financial Services,2/12/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/LSE,,,,,
Masstock Arable (UK) Limited / CSC Crop Protection Limited,,Mergers,Mergers - phase 1 clearance,"Agriculture, environment and natural resources",6/12/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Masstock,,,,,
Nationwide Building Society / Dunfermline Building Society,,Mergers,Mergers - phase 1 clearance,Financial Services,5/18/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/nationwide,,,,,
NBTY Europe Limited / Julian Graves Limited,,Mergers,Mergers - phase 1 referral,Retail and wholesale,3/20/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/NBTY,,,,,
Nynas / Teesside bitumen storage terminal,,Mergers,Mergers - phase 1 clearance,"Mineral extraction, mining ang quarrying",10/9/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Nynas,,,,,
Osem UK Limited / Yarden GB Limited,,Mergers,Mergers - phase 1 found not to qualify,Food manufacturing,5/12/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/osem,,,,,
Otis / Advance Lifts,,Mergers,Mergers - phase 1 clearance,Building and construction,9/9/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Otis,,,,,
Paragon Automotive / Camden Group,,Mergers,Mergers - phase 1 found not to qualify,Transport,7/22/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Paragon,,,,,
