Title,Summary,Outcome type,Market sector,Closed date,Archive URL,,
Premier International Foods UK Ltd / Apeejay International Tea Ltd ,OFT closed case: Completed acquisition of the tea business of Premier International Foods UK Ltd by Apeejay International Tea Ltd,Mergers - phase 1 found not to qualify,Food manufacturing,21-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/apeejay,,
Adobe Inc / Macromedia Inc ,OFT closed case: Anticipated acquisition by Adobe Inc of Macromedia Inc ,Mergers - phase 1  clearance,Electronics Industry,16-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/adobe,,
Marshalls plc / Paver Systems (Carluke) Ltd and Jamestown Stone and Concrete Ltd ,OFT closed case: Completed acquisition by Marshalls plc of Paver Systems (Carluke) Ltd and Jamestown Stone and Concrete Ltd,Mergers - phase 1 clearance,Building and construction,14-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/marshalls,,
QBE International Holdings (UK) plc / MBP Holdings Ltd ,OFT closed case: Completed acquisition by QBE International Holdings (UK) plc of MBP Holdings Ltd,Mergers - phase 1 clearance,Distribution and Service Industries,14-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/qbe,,
Impress Group BV / Alcan Packaging Sutton Ltd ,OFT closed case: Completed acquisition by Impress Group BV of Alcan Packaging Sutton Ltd,Mergers - phase 1 clearance,Paper printing and packaging,4-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/impress,,
Creative Broadcast Services Ltd / BBC Broadcast Ltd ,OFT closed case: Completed acquisition by Creative Broadcast Services Ltd of BBC Broadcast Ltd,Mergers - phase 1 clearance,Telecommunications,2-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/creative,,
Norfolkline Shipping B.V. / Norse Merchant Group Ltd ,OFT closed case: Anticipated acquisition by Norfolkline Shipping B.V. of Norse Merchant Group Ltd,Mergers - phase 1 clearance,Distribution and Service Industries,2-Nov-05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/norfolkline,,
Carlyle European Partners II / Britax Childcare Ltd ,OFT closed case: Completed acquisition by Carlyle European Partners II of Britax Childcare Ltd,Mergers - phase 1 found not to qualify,Recreation and Leisure,1-Nov-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/carlyle,,
Arqiva / Inmedia Communications ,OFT closed case: Completed acquisition by Arqiva Ltd of Inmedia Communications Ltd ,Mergers - phase 1 found not to qualify,Telecommunications,28-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/Arqiva,,
Punch Taverns plc / Avebury Holdings Ltd ,OFT closed case: Completed acquisition by Punch Taverns plc of Avebury Holdings Ltd ,Mergers - Phase 1 Clearance ,Recreation and Leisure,27-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/punch,,
Cinema Holdings Ltd / Terra Firma Investments (11 cinemas) ,"OFT closed case: Anticipated acquisition by Cinema Holdings Ltd (a company controlled by Thomas Anderson, a senior member of the Ward Anderson family) of the following cinemas owned by Terra Firma Investments (GP) 2 Ltd: UCI Clydebank, Odeon Newcastle, UCI Poole, UCI ",Mergers - phase 1 found not to qualify,Recreation and Leisure,26-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cinema,,
